"accelRating","age","agilityRating","awareRating","bCVRating","bigHitTrait","birthDay","birthMonth","birthYear","blockShedRating","breakSackRating","breakTackleRating","cITRating","capHit","capReleaseNetSavings","capReleasePenalty","carryRating","catchRating","changeOfDirectionRating","clutchTrait","college","confRating","contractBonus","contractLength","contractSalary","contractYearsLeft","coverBallTrait","dLBullRushTrait","dLSpinTrait","dLSwimTrait","desiredBonus","desiredLength","desiredSalary","devTrait","draftPick","draftRound","dropOpenPassTrait","durabilityGrade","experiencePoints","feetInBoundsTrait","fightForYardsTrait","finesseMovesRating","firstName","forcePassTrait","hPCatchTrait","height","highMotorTrait","hitPowerRating","homeState","homeTown","impactBlockRating","injuryLength","injuryRating","injuryType","intangibleGrade","isActive","isFreeAgent","isOnIR","isOnPracticeSquad","jerseyNum","jukeMoveRating","jumpRating","kickAccRating","kickPowerRating","kickRetRating","lBStyleTrait","lastName","leadBlockRating","legacyScore","manCoverRating","passBlockFinesseRating","passBlockPowerRating","passBlockRating","penaltyTrait","physicalGrade","playActionRating","playBallTrait","playRecRating","playerBestOvr","playerSchemeOvr","portraitId","posCatchTrait","position","powerMovesRating","predictTrait","presentationId","pressRating","productionGrade","pursuitRating","qBStyleTrait","reSignStatus","releaseRating","rookieYear","rosterId","routeRunDeepRating","routeRunMedRating","routeRunShortRating","runBlockFinesseRating","runBlockPowerRating","runBlockRating","runStyle","scheme","sensePressureTrait","sizeGrade","skillPoints","specCatchRating","speedRating","spinMoveRating","staminaRating","stiffArmRating","strengthRating","stripBallTrait","tackleRating","teamId","teamSchemeOvr","throwAccDeepRating","throwAccMidRating","throwAccRating","throwAccShortRating","throwAwayTrait","throwOnRunRating","throwPowerRating","throwUnderPressureRating","tightSpiralTrait","toughRating","truckRating","weight","yACCatchTrait","yearsPro","zoneCoverRating","id","team","signatureSlotList"
92,22,91,81,89,0,17,3,1998,50,28,80,79,2280000,610000,10430000,72,86,87,0,"Arizona State",50,10430000,4,2110000,4,3,0,0,0,0,0,0,1,26,2,1,0,1000,0,1,34,"Brandon",2,0,72,1,50,27,"Reno",45,0,92,97,76,true,false,false,false,11,84,95,13,19,80,1,"Aiyuk",29,0,48,14,19,36,1,90,10,1,38,78,78,71,0,"WR",29,0,21069,43,0,58,2,11,78,2020,554041366,77,79,80,32,28,48,3,4,0,79,0,83,91,81,84,69,65,0,49,1012793344,76,15,20,30,25,0,24,33,23,0,87,62,200,1,0,53,"554041366","49ers",
87,23,77,56,33,0,4,8,1997,67,13,22,48,590000,-20000,20000,46,57,70,0,"FAU",50,70000,3,1690000,2,3,0,0,0,0,0,0,0,0,64,0,0,76,0,0,51,"Azeez",2,0,73,1,83,8,"Tampa",71,0,80,97,58,true,false,false,false,51,31,80,20,16,10,2,"Al-Shaair",17,0,48,45,45,45,1,79,6,1,58,64,64,9361,0,"ROLB",56,0,20688,47,0,80,0,11,18,2018,554041397,9,12,17,45,45,45,3,11,1,85,1,41,82,33,79,40,67,0,80,1012793344,58,6,6,31,6,0,6,27,11,0,81,37,228,0,1,55,"554041397","49ers",
80,26,71,89,20,0,15,11,1993,87,12,16,10,6000000,500000,30650000,44,38,62,0,"Oregon",50,30650000,5,52850000,5,3,1,0,1,0,0,0,2,18,2,0,0,8198,0,0,70,"Arik",2,0,79,1,80,4,"Sacramento",86,0,82,97,75,true,false,false,false,91,15,83,30,30,10,0,"Armstead",16,500,32,45,45,45,2,78,6,1,90,84,84,7003,0,"LE",81,0,2533,35,0,88,0,11,12,2014,554041425,2,3,10,45,45,45,5,13,1,99,0,15,73,25,80,45,90,0,87,1012793344,75,6,6,32,6,0,6,35,17,0,83,45,292,0,5,40,"554041425","49ers","[{""isEmpty"":false,""locked"":false,""ovrThreshold"":70,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":""Defenders with this ability will grant a bonus pass rush point to all defensive linemen on any 3rd or 4th down."",""signatureLogoId"":1322,""signatureTitle"":""Defensive Rally"",""startActivated"":false,""unlockRequirement"":""""}},{""isEmpty"":false,""locked"":true,""ovrThreshold"":85,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":"""",""signatureLogoId"":0,""signatureTitle"":"""",""startActivated"":false,""unlockRequirement"":""""}}]"
81,26,77,63,70,0,16,11,1993,28,39,58,17,1120000,950000,170000,60,30,79,0,"Iowa",50,680000,4,2840000,1,4,0,0,0,0,0,0,0,41,4,0,0,3002,0,1,10,"C.J.",0,0,74,1,24,41,"Franklin",14,0,87,97,50,true,false,false,false,3,65,82,15,20,5,1,"Beathard",10,0,10,21,21,21,1,80,78,1,26,57,57,8477,0,"QB",8,0,12652,9,0,36,0,0,13,2016,554041493,11,13,14,19,19,21,1,4,4,92,0,19,78,51,78,50,64,0,27,1012793344,50,74,73,73,79,1,75,81,70,1,92,48,219,0,3,14,"554041493","49ers",
77,34,66,72,10,0,8,8,1986,25,12,5,10,750000,750000,0,40,22,49,0,"Utah",50,0,1,750000,1,4,0,0,0,0,0,0,0,33,4,0,0,14191,0,0,15,"Tony",2,0,77,1,35,43,"Salt Lake City",77,0,90,97,59,true,false,false,false,62,10,76,20,22,10,1,"Bergstrom",80,0,9,63,67,64,1,80,6,1,30,62,62,5047,0,"C",15,0,11494,10,0,35,0,0,12,2011,554041514,5,5,10,65,70,67,5,5,1,99,0,12,63,10,87,10,83,0,45,1012793344,59,6,6,20,6,0,6,22,10,0,88,15,310,0,8,12,"554041514","49ers",
86,27,71,71,39,0,21,1,1993,68,12,12,17,1050000,500000,550000,43,45,57,0,"Appalachian State",50,550000,1,500000,1,3,1,0,0,0,0,0,0,4,6,0,0,3920,0,0,61,"Ronald",2,0,76,1,81,9,"Greensboro",77,0,87,97,66,true,false,false,false,76,28,81,19,20,9,0,"Blair III",17,0,34,44,46,46,1,80,6,1,69,72,72,7896,0,"LE",75,0,17725,23,0,81,0,0,17,2015,554041531,3,7,14,45,44,45,1,13,1,99,0,17,77,21,71,31,85,0,78,1012793344,66,6,6,20,6,0,6,22,15,0,88,42,270,0,4,47,"554041531","49ers",
91,22,86,93,30,0,23,10,1997,80,12,21,27,7630000,500000,25950000,38,45,70,0,"Ohio State",50,31550000,4,2000000,3,4,1,1,1,0,0,0,3,3,2,0,0,5959,0,0,92,"Nick",2,0,76,1,84,8,"Fort Lauderdale",83,0,86,97,87,true,false,false,false,97,38,81,17,17,10,0,"Bosa",18,1750,30,45,44,45,1,85,6,1,88,90,90,9390,0,"RE",85,0,20565,31,0,91,2,11,16,2018,554041560,6,10,17,45,45,45,13,11,1,97,0,23,79,32,86,34,85,1,85,1012793344,87,6,6,21,6,0,6,25,14,0,84,31,266,0,1,42,"554041560","49ers","[{""isEmpty"":false,""locked"":false,""ovrThreshold"":0,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":""Make sacks or TFL's"",""signatureDeactivationDescription"":""Don't allow yards"",""signatureDescription"":""The most tenacious defenders beat their blocks by sheer force of will. When they enter the zone; their rush move attempts are free."",""signatureLogoId"":1310,""signatureTitle"":""Relentless"",""startActivated"":false,""unlockRequirement"":""""}},{""isEmpty"":false,""locked"":false,""ovrThreshold"":70,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":""Pass rushers with this ability are granted an additional maximum pass rush move point."",""signatureLogoId"":1359,""signatureTitle"":""Extra Credit"",""startActivated"":false,""unlockRequirement"":""""}},{""isEmpty"":false,""locked"":false,""ovrThreshold"":85,""signatureAbility"":{""abilityGUID"":"""",""activationEnabled"":false,""activationId"":"""",""deactivationEnabled"":false,""deactivationId"":"""",""isPassive"":false,""isUnlocked"":false,""marketplaceAbilityAlias"":"""",""signatureActivationDescription"":"""",""signatureDeactivationDescription"":"""",""signatureDescription"":""Defenders with this ability will ignore one bar of blocker resistance when attempting speed pass rush moves."",""signatureLogoId"":1348,""signatureTitle"":""Speedster"",""startActivated"":false,""unlockRequirement"":""""}}]"
91,25,93,83,81,0,4,8,1995,22,22,76,81,3260000,3260000,0,74,84,84,0,"Eastern Washington",50,0,1,3260000,1,4,0,0,0,0,0,0,0,0,64,0,0,1607,1,0,11,"Kendrick",2,1,73,0,15,36,"Portland",42,0,88,97,77,true,false,false,false,84,80,86,22,23,67,1,"Bourne",22,0,16,19,21,48,1,87,6,1,21,77,77,9146,1,"WR",11,0,12998,16,0,32,0,0,79,2016,554041565,77,81,82,16,23,59,1,6,1,80,0,82,88,79,78,46,65,0,27,1012793344,77,6,10,20,15,0,10,28,15,0,82,42,190,1,3,24,"554041565","49ers",
82,27,71,68,10,0,10,9,1992,30,12,5,15,740000,740000,0,44,40,58,0,"UCLA",50,0,1,740000,1,4,0,0,0,0,0,0,0,0,64,0,0,2811,0,0,15,"Jake",2,0,76,1,15,42,"Plano",74,0,90,97,56,true,false,false,false,64,10,70,22,18,10,1,"Brendel",71,0,20,65,62,64,1,78,6,1,30,56,56,7908,0,"C",19,0,17912,10,0,32,0,0,15,2015,554041596,5,5,15,62,61,61,5,2,1,99,0,15,71,10,90,10,80,0,41,1012793344,56,6,6,28,6,0,6,22,10,0,89,15,299,0,4,20,"554041596","49ers",
77,26,65,75,50,0,27,1,1994,20,12,32,50,680000,0,0,49,53,53,0,"San Diego State",50,0,1,680000,1,4,0,0,0,0,0,0,0,0,64,0,0,1310,0,1,10,"Daniel",2,0,77,1,38,4,"San Diego",78,0,91,97,65,true,false,false,false,60,48,71,20,21,10,1,"Brunskill",75,0,12,70,67,69,1,78,6,1,15,65,65,8495,1,"RG",10,0,12753,10,0,29,1,0,35,2016,554041642,21,29,39,73,66,70,11,2,1,99,0,46,66,23,83,44,80,0,33,1012793344,65,6,6,30,6,0,6,27,6,0,88,39,300,1,3,15,"554041642","49ers",
